row_id,attacker_model,img1,img2,dataset,attack_type,bpa_cnn_path
3,ArcFace,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000007_0076_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000005_0080_01.jpg,vggface2_pairs,impersonation_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs_bpa/ArcFace/BPA_CNN/adv_r3_n000007_0076_01_to_n000005_0080_01_impersonation_attack_7a08450a.png
5,ArcFace,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000004_0204_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000002_0070_01.jpg,vggface2_pairs,impersonation_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs_bpa/ArcFace/BPA_CNN/adv_r5_n000004_0204_01_to_n000002_0070_01_impersonation_attack_d4bb51aa.png
17,ArcFace,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000016_0036_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000012_0087_01.jpg,vggface2_pairs,impersonation_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs_bpa/ArcFace/BPA_CNN/adv_r17_n000016_0036_01_to_n000012_0087_01_impersonation_attack_658da4c2.png
19,ArcFace,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000007_0012_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000008_0101_01.jpg,vggface2_pairs,impersonation_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs_bpa/ArcFace/BPA_CNN/adv_r19_n000007_0012_01_to_n000008_0101_01_impersonation_attack_3a2eb4de.png
21,ArcFace,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000012_0183_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000014_0113_01.jpg,vggface2_pairs,impersonation_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs_bpa/ArcFace/BPA_CNN/adv_r21_n000012_0183_01_to_n000014_0113_01_impersonation_attack_e1fb492d.png
6,ArcFace,/content/face_module/dataset_extractedfaces/lfw_pairs/Luiz Inacio Lula da Silva_7.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Luiz Inacio Lula da Silva_8.jpg,lfw_pairs,dodging_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs_bpa/ArcFace/BPA_CNN/adv_r6_Luiz_Inacio_Lula_da_Silva_7_to_Luiz_Inacio_Lula_da_Silva_8_dodging_attack_9e9bb75a.png
9,ArcFace,/content/face_module/dataset_extractedfaces/lfw_pairs/Colin Powell_75.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Colin Powell_76.jpg,lfw_pairs,dodging_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs_bpa/ArcFace/BPA_CNN/adv_r9_Colin_Powell_75_to_Colin_Powell_76_dodging_attack_2ebf6f28.png
15,ArcFace,/content/face_module/dataset_extractedfaces/lfw_pairs/George W Bush_518.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/George W Bush_519.jpg,lfw_pairs,dodging_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs_bpa/ArcFace/BPA_CNN/adv_r15_George_W_Bush_518_to_George_W_Bush_519_dodging_attack_24c91547.png
16,ArcFace,/content/face_module/dataset_extractedfaces/lfw_pairs/Colin Powell_24.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Colin Powell_25.jpg,lfw_pairs,dodging_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs_bpa/ArcFace/BPA_CNN/adv_r16_Colin_Powell_24_to_Colin_Powell_25_dodging_attack_4b4d2392.png
23,ArcFace,/content/face_module/dataset_extractedfaces/lfw_pairs/Tom Daschle_5.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Tom Daschle_6.jpg,lfw_pairs,dodging_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs_bpa/ArcFace/BPA_CNN/adv_r23_Tom_Daschle_5_to_Tom_Daschle_6_dodging_attack_12d58ac1.png
18,ArcFace,/content/face_module/dataset_extractedfaces/celeba_pairs/092809.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/108708.jpg,celeba_pairs,dodging_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs_bpa/ArcFace/BPA_CNN/adv_r18_092809_to_108708_dodging_attack_50bb4264.png
27,ArcFace,/content/face_module/dataset_extractedfaces/celeba_pairs/023869.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/024923.jpg,celeba_pairs,dodging_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs_bpa/ArcFace/BPA_CNN/adv_r27_023869_to_024923_dodging_attack_2088752d.png
28,ArcFace,/content/face_module/dataset_extractedfaces/celeba_pairs/130980.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/147767.jpg,celeba_pairs,dodging_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs_bpa/ArcFace/BPA_CNN/adv_r28_130980_to_147767_dodging_attack_23e97fde.png
30,ArcFace,/content/face_module/dataset_extractedfaces/celeba_pairs/042909.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/048579.jpg,celeba_pairs,dodging_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs_bpa/ArcFace/BPA_CNN/adv_r30_042909_to_048579_dodging_attack_a2eb5a6d.png
33,ArcFace,/content/face_module/dataset_extractedfaces/celeba_pairs/169016.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/171037.jpg,celeba_pairs,dodging_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs_bpa/ArcFace/BPA_CNN/adv_r33_169016_to_171037_dodging_attack_cee84e4e.png
1,ArcFace,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000007_0113_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000007_0122_01.jpg,vggface2_pairs,dodging_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs_bpa/ArcFace/BPA_CNN/adv_r1_n000007_0113_01_to_n000007_0122_01_dodging_attack_64dbe384.png
4,ArcFace,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000008_0256_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000008_0348_01.jpg,vggface2_pairs,dodging_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs_bpa/ArcFace/BPA_CNN/adv_r4_n000008_0256_01_to_n000008_0348_01_dodging_attack_0c0e7431.png
7,ArcFace,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000010_0058_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000010_0081_01.jpg,vggface2_pairs,dodging_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs_bpa/ArcFace/BPA_CNN/adv_r7_n000010_0058_01_to_n000010_0081_01_dodging_attack_35fe3cc5.png
10,ArcFace,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000005_0022_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000005_0076_01.jpg,vggface2_pairs,dodging_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs_bpa/ArcFace/BPA_CNN/adv_r10_n000005_0022_01_to_n000005_0076_01_dodging_attack_5d93d4b6.png
11,ArcFace,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000007_0176_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000007_0335_03.jpg,vggface2_pairs,dodging_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/outputs_bpa/ArcFace/BPA_CNN/adv_r11_n000007_0176_01_to_n000007_0335_03_dodging_attack_ae273c96.png
